Age,SpendCategoryA,SpendCategoryB,PerformedAction
67,432,43,0
44,36,2156,0
26,0,524,0
69,14,101,0
57,85,105,0
56,346,72,0
60,3,108,0
53,216,2578,0
43,3202,44070,0
63,1302,1422,0
43,460,883,0
48,311,1641,0
38,2540,8436,0
58,135,0,0
36,0,77,0
33,0,90,0
25,0,9,0
23,11,0,0
62,0,7,0
45,0,18,0
71,11,0,0
60,56,0,0
40,838,136,0
30,82,4335,0
62,86,720,0
46,153,4093,0
41,191,59,0
60,300,166,0
59,1384,96,0
69,3111,563,0
78,840,212,0
41,1,399,0
45,0,9,0
46,0,48,0
19,0,18,0
37,5,17,0
52,898,6650,0
34,3,73,0
71,73,297,0
60,23,0,0
36,457,308,0
35,9,63,0
43,1163,305,0
43,2472,27,0
67,133,59,0
71,57,120,0
64,27,0,0
43,0,107,0
49,0,36,0
31,4,27,0
55,824,1408,0
31,221,224,0
28,0,8,0
74,273,552,0
41,0,28,0
33,0,4748,0
37,0,13,0
22,68,1513,0
46,642,614,0
50,488,48,0
34,198,293,0
59,672,0,0
40,41,365,0
37,945,4232,0
60,127,45,0
68,0,9,0
20,225,105,0
45,0,14,0
64,0,9,0
65,18,0,0
46,9,18,0
24,4,0,0
50,198,3542,0
59,0,6,0
55,0,111,0
41,0,18,0
37,32,121,0
36,0,17,0
58,8,1716,0
41,610,2977,0
41,5020,3524,0
35,26,62,0
54,0,81,0
40,0,23,0
22,0,68,0
26,0,45,0
35,1,36,0
71,0,7,0
20,0,670,0
58,3,0,0
70,0,8,0
51,428,0,0
36,574,75,0
64,0,2,0
65,0,126,0
44,427,1253,0
32,12,90,0
43,5542,43258,0
63,3464,1292,0
18,0,50,0
26,27,548,0
46,1898,3072,0
28,142,111,0
39,334,587,0
35,0,10,0
69,902,5120,0
80,17,0,0
40,12,27,0
39,0,2,0
57,0,113,0
56,37,42,0
57,1295,79,0
